šikangu,𒀿
ba,𒁀
be₄,𒁀
bi₆,𒁀
libit,𒁀
pa₂,𒁀
wa₂,𒁀
ba₉,𒁁
bad,𒁁
bada,𒁁
bara₄,𒁁
bat,𒁁
bata,𒁁
baṭ,𒁁
be,𒁁
bi₄,𒁁
bid₂,𒁁
bit₂,𒁁
dihi,𒁁
dim₇,𒁁
edim,𒁁
eš₇,𒁁
idin,𒁁
mat₂,𒁁
me₄,𒁁
med,𒁁
met,𒁁
meṭ,𒁁
mit,𒁁
miti,𒁁
mitu,𒁁
miṭ,𒁁
mud₂,𒁁
mut₂,𒁁
paₓ,𒉻
pad₂,𒁁
pat₂,𒁁
paṭ₂,𒁁
pe₃,𒁁
pet₂,𒁁
pi₃,𒁁
pid₂,𒁁
pit₂,𒁁
qit₃,𒁁
sugin,𒁁
sungin,𒁁
ṣiṣ,𒁁
ti₅,𒁁
tile,𒁁
ṭil₂,𒁁
ulal,𒁁
zar₅,𒁁
zara₅,𒁁
zaz,𒁁
zis,𒁁
ziz,𒁁
zu₄,𒁁
zuru₉,𒁁
zar₆,𒁁𒀸
zara₆,𒁁𒀸
zuru₁₀,𒁁𒀸
dabda₂,𒁁𒁁
buruₓ,𒋲
gurinₓ,𒋲
gurun₂,𒁁𒅆𒁁
kurunₓ,𒋲
sagmaš,𒁁𒆜
saŋmaš,𒁁𒆜
zanbur,𒁁𒆜
adₓ,𒂗
adama,𒁁𒈪
adamu,𒁁𒈪
mudgi,𒁁𒈪
lugud,𒁁𒌓
agaš,𒁁.X
/allura/,𒁃
alurₓ,𒁃
bahar₂,𒁃
lil₇,𒁃
lillu,𒁃
muštaptin,𒁃
nunurra,𒁃
nunurru,𒁃
bal,𒁄
bala,𒁄
balak,𒁄
bul₃,𒁄
kulₓ,𒄑𒆰
pal,𒁄
pala₄,𒁄
pul₃,𒁄
minbulugₓ,𒁑𒉄
balag,𒁆
balaŋ,𒁆
bulug₅,𒁆
buluŋ₅,𒁆
bulunₓ,𒉽𒉽
bum₂,𒁆
gud₁₀,𒁆
gudu₁₀,𒁆
lumha,𒁆
takaₓ,𒔋
hurinₓ,𒁆𒀀
tegi,𒁆𒈜
tigi,𒁆𒈜
tigu,𒁆𒈜
zabitum,𒁆𒌉
ba₁₅,𒁇
bar,𒁇
bara,𒁇
bare,𒁇
par₂,𒁇
para₂,𒁇
sutu,𒑏
war,𒁇
kunga₂,𒋙𒀭
kungi₂,𒋙𒀭
kunga,𒋙𒀯
kungi,𒋙𒀯
bahar₄,𒁇𒂔
nunmeli,𒁇𒄷𒆕
bar₂,𒁈
bara₂,𒁈
barag,𒁈
par₆,𒁈
para₁₀,𒁈
parag,𒁈
ša₂₃,𒁈
šar₆,𒁈
šara,𒁈
be₂,𒁉
bi,𒁉
biz,𒁉
dugₓ,𒋀𒅁
ebirₓ,𒁉
epir₂,𒁉
ešemen₅,𒁉
ešemin₅,𒁉
gaš,𒁉
huburₓ,𒉭
ka₈,𒁉
kas₂,𒁉
kaš,𒁉
kaṣ₂,𒁉
pe₂,𒁉
pi₂,𒁉
sa₁₈,𒁉
siris₄,𒁉
su₁₅,𒁉
ša₂₁,𒁉
šu₁₃,𒁉
kaš-bir₈,𒁉𒀀𒋤
kašbir,𒁉𒀀𒋤
ulušinₓ,𒁉𒀀𒋤
{kaš}ulušinₓ,𒁉𒀾
{kaš}ulušin,𒁉𒀾𒀀𒀭
{kaš}ulušin₃,𒁉𒀾𒀭
{kaš}ulušin₂,𒁉𒀾𒀭𒈾
lungaₓ,𒁋
kurun,𒁉𒁷
kušum,𒁉𒈜
šaqa,𒁉𒈜
šaqu,𒁉𒈜
šaqum,𒁉𒈜
kurun₅,𒁉𒈪
siris₅,𒁉𒈪
dida,𒁉𒌑𒊓
{kaš}dida,𒁉𒌑𒊓
pihu₄,𒁉𒌑𒊓
dida₂,𒍑𒊓
{kaš}dida₂,𒁉𒍑𒊓
pihu₅,𒍑𒊓
bappir₃,𒁋
bappira₃,𒁋
šembi₃,𒁌
šimbi₃,𒁌
bu,𒁍
bur₁₂,𒁍
dim₁₃,𒁍
dul₁₀,𒁍
dur₇,𒁍
gazibu,𒁍
gazimbi,𒁍
gazinbi,𒁍
gazinbu,𒁍
gi₂₇,𒁍
gid₂,𒁍
gida₂,𒁍
gidi₃,𒁍
gidim₃,𒁍
gim₇,𒁍
git₂,𒁍
giṭ₂,𒁍
guz₂,𒁍
ildumₓ,𒉄
kid₁₀,𒁍
kim₃,𒁍
kit₁₀,𒁍
madal,𒁍
madla,𒁍
madlu,𒁍
malla,𒁍
mudla,𒁍
mudlu,𒁍
mudra₃,𒁍
mudru₃,𒁍
mudul,𒁍
mulla,𒁍
mullu,𒁍
nun₃,𒁍
pi₈,𒁍
pu,𒁍
qid₂,𒁍
qit₂,𒁍
ra₅,𒁍
ser₂,𒁍
siₓ,𒋻
sir₂,𒁍
su₁₃,𒁍
sud₄,𒁍
sugₓ,𒋤𒉺𒂖
suš₃,𒁍
šaški,𒁍
šašku,𒁍
šer₂,𒁍
šir₂,𒁍
šud₂,𒁍
tur₈,𒁍
sirsir,𒁎
gutir,𒁏
kide,𒁏
unu₁₂,𒁐
bu₉,𒁑
bulug,𒁑
buluŋ,𒁑
magar,𒁑
magara,𒁑
mangara,𒁑
muš₆,𒁑
nagarₓ,𒁑
niŋinₓ,𒁑
mebulug₂,𒁒
menbulug₂,𒁒
minbulug₂,𒁒
šembulug,𒁒
šimbulug,𒁒
bur,𒁓
buru,𒁓
limₓ,𒐉
pur,𒁓
puru,𒁓
bal₂,𒁔
bu₈,𒁔
bul₂,𒁔
bulug₂,𒁔
bur₂,𒁔
buru₂,𒁔
du₉,𒁔
dun₅,𒁔
pul₂,𒁔
su₁₆,𒁔
sun₅,𒁔
šum₅,𒁔
ušu,𒁔
ušum,𒁔
bubbur,𒁔𒁔
aₓ,𒁕
da,𒁕
diₓ,𒁶
du₂₀,𒁕
idi₃,𒁕
le₁₀,𒁕
li₁₀,𒁕
qab₃,𒁕
ta₂,𒁕
ṭa,𒁕
gabraₓ,𒁕𒍑
ragabₓ,𒁕𒍑
bar₃,𒁖
bara₃,𒁖
barag₂,𒁖
da₈,𒁖
dag,𒁖
dak,𒁖
daq,𒁖
par₃,𒁖
para₃,𒁖
tag₂,𒁖
tak₂,𒁖
taq₂,𒁖
ṭak,𒁖
šihumₓ,𒁖𒆨
massa₂,𒁗
garim₂,𒁘
ŋarim₂,𒁘
šaran,𒁙
harₓ,𒆢
hara₄,𒁚
haru₄,𒁚
akan,𒁜
akani,𒁜
haraₓ,𒉸
kisim₇,𒁜
subₓ,𒋃
ubur,𒁜
massa,𒁜
keš₇,𒁝
kiši₇,𒁝
keš₈,𒁞
kirim,𒁞
kisiₓ,𒁞
kisim₄,𒁞
kiši₈,𒁞
udul₅,𒁟
utul₅,𒁟
hulum₃,𒁠
hunin,𒁠
ubur₃,𒁡
ubur₄,𒁢
gabar₂,𒁣
kabar₂,𒁣
lahta₆,𒁤
lahtan₆,𒁤
kisimₓ,𒁥
ubur₂,𒁥
amaš,𒁦
amaša,𒁦
kisim₃,𒁦
ua₄,𒁦
udul₃,𒁦
utua₂,𒁦
utul₃,𒁦
utuwa₂,𒁦
hulum,𒁧
ge₂₈,𒁨
šurin₄,𒁨
šurun₄,𒁨
rapiku,𒁩
rapiqu,𒁩
kisim₂,𒁪
zibin,𒁫
hara₅,𒁬
harub,𒁬
keš₉,𒁬
kisim,𒁬
kiši₉,𒁬
šaran₂,𒁬
šarin,𒁬
šurin₅,𒁬
šurun₅,𒁬
zibin₂,𒁬
udul₆,𒁭
utua,𒁭
utul₆,𒁭
utuwa,𒁭
ku₁₂,𒁖
lu₁₀,𒁖
da₄,𒁮
dam,𒁮
dama,𒁮
dum₃,𒁮
lam₃,𒁮
ta₄,𒁮
tam₂,𒁮
tum₁₀,𒁮
ṭa₄,𒁮
ṭam,𒁮
daₓ,𒉿
dar,𒁯
daš₄,𒁯
dir₂,𒁯
guₓ,𒍀
gun₃,𒁯
gunu₃,𒁯
tar₂,𒁯
tir₃,𒁯
ṭar₂,𒁯
ṭir₄,𒁯
dar₃,𒁰
dara₃,𒁰
durah,𒁰
tar₃,𒁰
tara₃,𒁰
tarah,𒁰
ṭar₃,𒁰
dar₄,𒁱
dara₄,𒁱
durahₓ,𒁱
gana₆,𒁱
ganam₆,𒁱
inna,𒁱
lahar₂,𒁱
lahrum₂,𒁱
mudru₄,𒋠𒀸
nina₂,𒁱
ninnaₓ,𒁱
tarahₓ,𒁱
ua₂,𒁱
u₁₀,𒁱
