Raw Archive Value,Count,Projects,Normalized Archive Value
"Purchased by E.A.W. Budge in Babylon, but registered as coming from Hillah",2,,Uncertain
Hillah,2,,Uncertain
Purchased from a dealer in Mosul,2,,Uncertain
From Miss Erskine (London),2,,Uncertain
Gift to Pope Gregory XVI; probably from Mosul,2,,Uncertain
Acquired from Sotheby's,2,,Uncertain
"Purchased by E.-Tisserant, possibly from or near Nineveh",2,,Uncertain
"1855-12-05, 005 is registered as coming from Sherif Khan",2,,Uncertain
"1855-12-05, 007 is registered as coming from Sherif Khan, but Rm 0647 is from Kuyunjik",2,,Uncertain
Possibly Babylon,2,,Uncertain
Probably Sippar,2,,Uncertain
Probably Nippur,2,,Uncertain
"Purchased from an antiquities dealer in Kabul, Afghanistan",2,,Uncertain
"Possibly Sippar, Babylon, or Borsippa",2,,Uncertain
"1851-12-05, 013 is registered as coming from Sherif Khan",2,,Uncertain
"possibly Nineveh, Kuyunjik, the South-West Palace",2,,Uncertain
Purchased in Mosul,2,,Uncertain
Gift to Pope Pius IX,2,,Uncertain
43x29.5,2,,Uncertain
Copying Tablets for the Royal Library,2,saao-saa10,Uncertain
Copying Texts for the Royal Library,2,saao-saa10,Uncertain
Ch. 8 (Harran Census),2,saao-saa11,Uncertain (SAA Chapter)
Babylonians Working in the Library,2,saao-saa11,Uncertain
Ch. 9 (Schedules of Land and People),2,saao-saa11,Uncertain (SAA Chapter)
Ch. 5 (Letters from Nineveh and the Royal Court),2,saao-saa16,Uncertain (SAA Chapter)
"006 - Northwest Palace, Room ZT 2",2,saao-saa19,Uncertain (North-West Palace Room)
"006 - Northwest Palace, ZT loose",2,saao-saa19,Uncertain (North-West Palace Room)
Ch. 9 (Cultic Topography of Assur),2,saao-saa20,Uncertain (SAA Chapter)
Abschnitt 2,,,
Abu-ṭāb archive,,,
Archive of Ahuni,,,
Ass 03878,,,
Ass 05169,,,
Ass 07252,,,
Ass 12674,,,
Ass 13221,,,
Ass 13662,,,
Ass 14033,,,
Ass 14382,,,
Ass 14385,,,
Ass 14424,,,
Ass 14466,,,
Ass 14580,,,
Ass 18191,,,
Ass 20193,,,
Ass 21899,,,
Ass 23078,,,
Ass S4777,,,
Aššur-kašid archive,,,
Babylon N1,,,
C,,,
Eanna,,,
Ebabbar,,,
Egibi,,,
Egyptian diplomatic archive,,,
Flock-master’s archive,,,
Ilī-nāṣir archive,,,
Local palace archive,,,
M 03 Archive,,,
M 04 Archive,,,
M 05 Archive,,,
M 06 Archive,,,
M 07 Archive,,,
M 08 Archive,,,
M 09 Archive,,,
M 10 Archive,,,
M 11 Archive,,,
M 12 Archive,,,
M 13 Archive,,,
M 14 Archive,,,
Marduk-remanni,,,
Mari palace archive,,,
Murasu,,,
N 01 Archive,,,
N 04 Archive,,,
N 09 Archive,,,
N 14 Archive,,,
N 24 Archive,,,
N 27 Archive,,,
N 33 Archive,,,
Nappahu,,,
OIP 079,,,
Palace archive,,,
Stelenreihen,,,
Sutiu Archive,,,
T 169,,,
T 189,,,
T 232,,,
T 314,,,
T 380,,,
T 51,,,
Tammetu archive,,,
Ugarit palace archive,,,
Urtenu archive,,,
Šandabakku’s archive?,,,
