Raw Archive Value,Count,Projects,Normalized Archive Value
"Ch. 2 (Balasi, Astrologer)",56,saao-saa10,Uncertain (SAA Chapter)
Ch. 4 (Letters from Kar-Šarrukin),56,saao-saa15,Uncertain (SAA Chapter)
Archive of the rab ekall,54,atae-ctn3,Rab ekalli Archive
Ch. 2 (Grants of Sargon II and Later Kings),54,"atae-huzirina, saao-saa12",Uncertain (SAA Chapter)
"001 - Lower Town, Building II,  Rooms 9–10",54,atae-tuszhan,Lower Town Building II Archive
Ch. 4 (Sealings),54,saao-saa11,Uncertain (SAA Chapter)
Ch. 4 (Letters from the Northern and Northwestern Provinces),54,saao-saa19,Uncertain (SAA Chapter)
Ch. 8 (Varia),52,"atae-huzirina, saao-saa03, saao-saa14",Uncertain (SAA Chapter)
Kutha 7.3.3 (Šangû-Ištar-Bābili),52,babcity,Šangû-Ištar-Bābili Archive
001 - Qurdi-Nergal Archive,52,"saao-saa03, saao-saa12, saao-saa20, saao-saas2",Qurdi-Nergal Archive
Ch. 9 (Fragmentary Letters Relating to Urarṭu and Zikirtu),52,saao-saa05,Uncertain (SAA Chapter)
Ch. 4 (Royal Charioteers),52,saao-saa06,Uncertain (SAA Chapter)
Ch. 3 (Miscellaneous Commodities),52,saao-saa11,Uncertain (SAA Chapter)
Ch. 13 (Varia and Unassigned),52,saao-saa19,Uncertain (SAA Chapter)
"Ch. 6 (Letters to Vassal Rulers, and Miscellany)",52,saao-saa21,Uncertain (SAA Chapter)
12 (Texte aus N 31),50,atae-stat3,Archive N31
Bēliya’u,50,borsippa,Bēliya’u Archive
"Ch. 4 (Akkullanu, Astrologer)",50,saao-saa10,Uncertain (SAA Chapter)
Ch. 5 (Letters from Assur - Varia),50,saao-saa13,Uncertain (SAA Chapter)
Ch. 7 (Unassigned),50,saao-saa14,Uncertain (SAA Chapter)
"Ch. 5 (Kakkullanu, Cohort Commander of the Crown Prince)",50,saao-saa14,Uncertain (SAA Chapter)
Ch. 3 (Fragments of Grants or Schedules to Grants),48,"atae-huzirina, saao-saa12",Uncertain (SAA Chapter)
033 - N 18 Archive,48,atae-stat2,Archive N18
09 (Archive N18 (Arameans)),48,atae-stat2,Archive N18
Archive N20 (Šarru-iqbi),48,atae-stat2,Archive N20
Ch. 9 (Textiles),48,saao-saa07,Uncertain (SAA Chapter)
